source_county,source_fips,target_county,target_fips,reception_center,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6
cameron,48061,webb,48479,,,,,,,mandatory
hidalgo,48215,webb,48479,,,,,,,mandatory
starr,48427,webb,48479,,,,,,,voluntary
willacy,48489,webb,48479,,,,,,voluntary,mandatory
aransas,48007,webb,48479,,,,,voluntary,mandatory,voluntary
bee,48025,webb,48479,,,,,voluntary,mandatory,voluntary
brooks,48047,webb,48479,,,,,,voluntary,mandatory
duval,48131,webb,48479,,,,,,voluntary,
jim wells,48249,webb,48479,,,,,,voluntary,voluntary
brazoria,48039,travis,48453,Austin,voluntary,mandatory,voluntary,,,
kenedy,48261,webb,48479,,,,,,voluntary,mandatory
kleberg,48273,webb,48479,,,,,voluntary,mandatory,voluntary
live oak,48297,webb,48479,,,,,,voluntary,
mcmullen,48311,webb,48479,,,,,,voluntary,
nueces,48355,webb,48479,,,,,voluntary,mandatory,voluntary
refugio,48391,webb,48479,,,,,voluntary,mandatory,voluntary
san patricio,48409,webb,48479,,,,,voluntary,mandatory,voluntary
cameron,48061,bexar,48029,San Antonio,,,,,,mandatory
hidalgo,48215,bexar,48029,San Antonio,,,,,,mandatory
chambers,48071,travis,48453,Austin,mandatory,mandatory,voluntary,,,
starr,48427,bexar,48029,San Antonio,,,,,,voluntary
willacy,48489,bexar,48029,San Antonio,,,,,voluntary,mandatory
aransas,48007,bexar,48029,San Antonio,,,,voluntary,mandatory,voluntary
bee,48025,bexar,48029,San Antonio,,,,voluntary,mandatory,voluntary
brooks,48047,bexar,48029,San Antonio,,,,,voluntary,mandatory
duval,48131,bexar,48029,San Antonio,,,,,voluntary,
jim wells,48249,bexar,48029,San Antonio,,,,,voluntary,voluntary
kenedy,48261,bexar,48029,San Antonio,,,,,voluntary,mandatory
kleberg,48273,bexar,48029,San Antonio,,,,voluntary,mandatory,voluntary
live oak,48297,bexar,48029,San Antonio,,,,,voluntary,
mcmullen,48311,bexar,48029,San Antonio,,,,,voluntary,
nueces,48355,bexar,48029,San Antonio,,,,voluntary,mandatory,voluntary
refugio,48391,bexar,48029,San Antonio,,,,voluntary,mandatory,voluntary
san patricio,48409,bexar,48029,San Antonio,,,,voluntary,mandatory,voluntary
calhoun,48057,bexar,48029,San Antonio,,,voluntary,mandatory,,
dewitt,48123,bexar,48029,San Antonio,,,voluntary,mandatory,,
goliad,48175,bexar,48029,San Antonio,,,voluntary,mandatory,,
galveston,48167,travis,48453,Austin,mandatory,mandatory,voluntary,,,
jackson,48239,bexar,48029,San Antonio,,,voluntary,mandatory,,
lavaca,48285,bexar,48029,San Antonio,,,voluntary,mandatory,,
victoria,48469,bexar,48029,San Antonio,,,voluntary,mandatory,,
austin,48015,bexar,48029,San Antonio,,voluntary,voluntary,,,
colorado,48089,bexar,48029,San Antonio,,voluntary,mandatory,voluntary,,
fort bend,48157,bexar,48029,San Antonio,,voluntary,mandatory,voluntary,,
harris,48201,bexar,48029,San Antonio,voluntary,mandatory,voluntary,,,
